Name    lms_peak    lms_sigma   lms_chi2/ndf  alpha_peak (g1) alpha_sigma (g2)alpha_chi2/ndf (g3)
LMS1    4058.427    98.112      1.477         4695.886        133.572         0.861           
LMS2    9885.477    134.864     1.169         4207.926        109.184         0.630           
LMS3    2400.519    78.406      1.116         5220.680        138.749         1.064           
W1      10281.746   176.813     0.903         11896.703       4376.605        22360.879       
W2      4088.304    91.021      2.765         4730.456        1740.258        8891.298        
W3      6740.067    119.488     0.868         7798.732        2869.028        14658.388       
W4      8996.174    151.807     0.724         10409.206       3829.379        19564.998       
W5      7160.989    132.572     0.728         8285.769        3048.200        15573.815       
W6      2158.913    73.435      1.323         2498.014        918.979         4695.233        
W7      9978.858    177.650     1.012         11546.241       4247.676        21702.154       
W8      3502.056    91.685      1.173         4052.126        1490.712        7616.318        
W9      1924.884    65.051      0.906         2227.226        819.361         4186.263        
W10     2729.718    78.842      1.670         3158.475        1161.952        5936.626        
W11     5630.751    109.665     1.167         6515.176        2396.828        12245.833       
W12     4058.447    90.731      1.636         4695.908        1727.549        8826.364        
W13     5439.624    112.313     1.107         6294.027        2315.471        11830.166       
W14     4667.096    89.734      0.682         5400.158        1986.631        10150.062       
W15     6603.314    137.997     1.291         7640.499        2810.816        14360.976       
W16     4481.384    99.013      1.501         5185.277        1907.580        9746.174        
W17     7811.585    127.445     0.679         9038.554        3325.138        16988.740       
W18     512.100     44.591      7.367         592.535         217.984         1113.721        
W19     5604.045    106.341     1.246         6484.274        2385.460        12187.752       
W20     4422.505    92.477      0.527         5117.149        1882.517        9618.123        
W21     3665.483    98.090      0.923         4241.222        1560.277        7971.742        
W22     6863.615    151.185     0.917         7941.685        2921.618        14927.081       
W23     4906.285    108.495     1.236         5676.917        2088.446        10670.253       
W24     4930.003    106.710     0.488         5704.360        2098.542        10721.837       
W25     4800.970    93.793      0.591         5555.060        2043.617        10441.213       
W26     6248.616    124.713     1.041         7230.088        2659.833        13589.574       
W27     4039.986    89.320      0.629         4674.547        1719.691        8786.214        
W28     3661.523    84.744      0.418         4236.640        1558.592        7963.130        
W29     4508.602    107.543     0.477         5216.769        1919.165        9805.366        
W30     6090.988    106.431     1.275         7047.701        2592.736        13246.761       
W31     6085.855    118.112     0.869         7041.763        2590.551        13235.600       
W32     7163.566    120.660     0.793         8288.750        3049.297        15579.419       
W33     4813.487    95.093      0.922         5569.543        2048.945        10468.435       
W34     7889.082    138.913     1.150         9128.223        3358.126        17157.281       
W35     6887.077    129.680     1.292         7968.832        2931.605        14978.105       
W36     3716.951    92.608      0.768         4300.774        1582.185        8083.675        
W37     4348.738    96.867      0.657         5031.796        1851.117        9457.694        
W38     4374.894    89.205      0.460         5062.060        1862.250        9514.577        
W39     6509.437    114.628     0.797         7531.876        2770.855        14156.810       
W40     6500.455    112.445     0.865         7521.483        2767.033        14137.275       
W41     4914.455    102.874     0.552         5686.370        2091.924        10688.022       
W42     3030.901    73.293      1.117         3506.966        1290.156        6591.645        
W43     7491.165    128.135     0.652         8667.805        3188.746        16291.885       
W44     7153.402    136.165     1.273         8276.988        3044.971        15557.313       
W45     5267.554    99.248      1.085         6094.930        2242.227        11455.945       
W46     6608.399    121.231     0.618         7646.382        2812.981        14372.035       
W47     6319.243    108.460     1.032         7311.808        2689.896        13743.173       
W48     1793.361    63.991      1.377         2075.045        763.375         3900.225        
W49     4228.762    106.123     0.574         4892.975        1800.047        9196.767        
W50     7000.028    119.992     1.154         8099.525        2979.685        15223.754       
W51     5221.604    105.848     0.672         6041.764        2222.667        11356.015       
W52     5728.806    110.235     1.455         6628.632        2438.567        12459.084       
W53     1990.266    68.340      1.410         2302.877        847.192         4328.457        
W54     5149.542    95.122      1.641         5958.381        2191.992        11199.291       
W55     2474.762    67.927      0.247         2863.474        1053.426        5382.146        
W56     5842.445    118.707     1.143         6760.120        2486.939        12706.228       
W57     4923.218    100.621     0.911         5696.510        2095.654        10707.081       
W58     6726.996    122.460     1.142         7783.608        2863.464        14629.961       
W59     4305.018    95.068      1.410         4981.208        1832.506        9362.610        
W60     7904.070    120.638     0.839         9145.564        3364.506        17189.875       
W61     4440.214    95.980      0.599         5137.640        1890.055        9656.636        
W62     4846.909    92.211      1.538         5608.215        2063.172        10541.122       
W63     6127.124    114.119     0.807         7089.513        2608.118        13325.351       
W64     4882.597    95.979      0.777         5649.508        2078.363        10618.736       
W65     7555.238    134.843     0.795         8741.941        3216.019        16431.232       
W66     7928.216    144.134     0.914         9173.503        3374.784        17242.389       
W67     7600.087    131.853     1.159         8793.836        3235.110        16528.770       
W68     6665.563    120.828     0.958         7712.525        2837.314        14496.354       
W69     4643.928    109.011     0.648         5373.351        1976.769        10099.676       
W70     3874.408    88.844      0.715         4482.963        1649.210        8426.115        
W71     5491.832    104.222     1.751         6354.436        2337.695        11943.709       
W72     4467.070    101.650     0.483         5168.714        1901.487        9715.044        
W73     5496.815    119.703     0.804         6360.202        2339.816        11954.547       
W74     6435.887    115.435     0.774         7446.773        2739.548        13996.853       
W75     8118.844    141.960     1.234         9394.073        3455.928        17656.971       
W76     6491.910    119.223     1.091         7511.597        2763.395        14118.692       
W77     4447.183    100.370     0.583         5145.704        1893.021        9671.793        
W78     6112.587    111.643     1.036         7072.693        2601.930        13293.736       
W79     5778.531    109.170     0.752         6686.167        2459.733        12567.227       
W80     6307.140    108.774     1.882         7297.805        2684.745        13716.853       
W81     4169.147    93.923      0.641         4823.996        1774.671        9067.116        
W82     4138.248    91.533      0.754         4788.244        1761.518        8999.917        
W83     4170.127    96.265      1.346         4825.130        1775.088        9069.248        
W84     3746.756    84.626      1.389         4335.260        1594.872        8148.495        
W85     3139.516    84.489      1.225         3632.641        1336.390        6827.861        
W86     1309.972    60.029      1.932         1515.730        557.613         2848.945        
W87     4433.516    108.487     1.078         5129.890        1887.204        9642.070        
